阶段,国家,国家编码,产品品线,平台类型,平台,搜索词,URL,批次编码
P2-A,美国,US,家居出行,电商评论类,Amazon (amazon.com),stroller review problem,https://www.amazon.com/s?k=stroller+review+problem&rh=p_72%3A1-2,BATCH-P2A-US
P2-A,美国,US,家居出行,电商评论类,Amazon (amazon.com),baby carrier uncomfortable,https://www.amazon.com/s?k=baby+carrier+uncomfortable&rh=p_72%3A1-2,BATCH-P2A-US
P2-A,美国,US,家居出行,电商评论类,Amazon (amazon.com),car seat complaint,https://www.amazon.com/s?k=car+seat+complaint&rh=p_72%3A1-2,BATCH-P2A-US
P2-A,美国,US,内衣服饰,电商评论类,Amazon (amazon.com),nursing bra review,https://www.amazon.com/s?k=nursing+bra+review&rh=p_72%3A1-2,BATCH-P2A-US
P2-A,美国,US,内衣服饰,电商评论类,Amazon (amazon.com),maternity underwear uncomfortable,https://www.amazon.com/s?k=maternity+underwear+uncomfortable&rh=p_72%3A1-2,BATCH-P2A-US
P2-A,美国,US,内衣服饰,电商评论类,Amazon (amazon.com),postpartum shapewear complaint,https://www.amazon.com/s?k=postpartum+shapewear+complaint&rh=p_72%3A1-2,BATCH-P2A-US
P2-A,美国,US,智能母婴电器,电商评论类,Amazon (amazon.com),baby monitor review problem,https://www.amazon.com/s?k=baby+monitor+review+problem&rh=p_72%3A1-2,BATCH-P2A-US
P2-A,美国,US,智能母婴电器,电商评论类,Amazon (amazon.com),smart baby gadget complaint,https://www.amazon.com/s?k=smart+baby+gadget+complaint&rh=p_72%3A1-2,BATCH-P2A-US
P2-A,美国,US,智能母婴电器,电商评论类,Amazon (amazon.com),baby camera issue,https://www.amazon.com/s?k=baby+camera+issue&rh=p_72%3A1-2,BATCH-P2A-US
P2-A,加拿大,CA,家居出行,电商评论类,Amazon (amazon.ca),stroller review problem,https://www.amazon.ca/s?k=stroller+review+problem&rh=p_72%3A1-2,BATCH-P2A-CA
P2-A,加拿大,CA,家居出行,电商评论类,Amazon (amazon.ca),poussette avis négatif,https://www.amazon.ca/s?k=poussette+avis+n%C3%A9gatif&rh=p_72%3A1-2,BATCH-P2A-CA
P2-A,加拿大,CA,内衣服饰,电商评论类,Amazon (amazon.ca),nursing bra review,https://www.amazon.ca/s?k=nursing+bra+review&rh=p_72%3A1-2,BATCH-P2A-CA
P2-A,加拿大,CA,智能母婴电器,电商评论类,Amazon (amazon.ca),baby monitor review problem,https://www.amazon.ca/s?k=baby+monitor+review+problem&rh=p_72%3A1-2,BATCH-P2A-CA
P2-A,英国,GB,家居出行,电商评论类,Amazon (amazon.co.uk),pushchair review problem,https://www.amazon.co.uk/s?k=pushchair+review+problem&rh=p_72%3A1-2,BATCH-P2A-GB
P2-A,英国,GB,家居出行,电商评论类,Amazon (amazon.co.uk),pram complaint,https://www.amazon.co.uk/s?k=pram+complaint&rh=p_72%3A1-2,BATCH-P2A-GB
P2-A,英国,GB,家居出行,电商评论类,Amazon (amazon.co.uk),baby carrier issue,https://www.amazon.co.uk/s?k=baby+carrier+issue&rh=p_72%3A1-2,BATCH-P2A-GB
P2-A,英国,GB,内衣服饰,电商评论类,Amazon (amazon.co.uk),nursing bra review problem,https://www.amazon.co.uk/s?k=nursing+bra+review+problem&rh=p_72%3A1-2,BATCH-P2A-GB
