阶段,国家,国家编码,产品品线,平台类型,平台,搜索词,URL,Google定向查询,Google搜索URL,批次编码
P1-C,美国,US,吸奶器,竞品独立站,Spectra DTC (spectra-baby.com),"Spectra S1, Spectra S2, Spectra S2 Plus",https://www.spectra-baby.com/collections/breast-pumps,"site:spectra-baby.com ""review"" (""1 star"" OR ""disappointed"" OR ""not worth"")",https://www.google.com/search?q=site%3Aspectra-baby.com+%22review%22+%28%221+star%22+OR+%22disappointed%22+OR+%22not+worth%22%29,BATCH-P1C-US-Spectra
P1-C,美国,US,吸奶器,竞品Amazon评论,Amazon (amazon.com),Spectra S1,https://www.amazon.com/s?k=Spectra+S1&rh=p_72%3A1-2,"site:amazon.com ""Spectra S1"" (""1 star"" OR ""terrible"" OR ""not worth"")",https://www.google.com/search?q=site%3Aamazon.com+%22Spectra+S1%22+review+problem,BATCH-P1C-US-Spectra
P1-C,美国,US,吸奶器,竞品Amazon评论,Amazon (amazon.com),Spectra S2,https://www.amazon.com/s?k=Spectra+S2&rh=p_72%3A1-2,"site:amazon.com ""Spectra S2"" (""1 star"" OR ""terrible"" OR ""not worth"")",https://www.google.com/search?q=site%3Aamazon.com+%22Spectra+S2%22+review+problem,BATCH-P1C-US-Spectra
P1-C,美国,US,吸奶器,竞品独立站Google定向,Google → spectra-baby.com,Spectra negative reviews,https://www.google.com/search?q=site%3Aspectra-baby.com+%22review%22+%28%22problem%22+OR+%22disappointed%22+OR+%22returned%22%29,"site:spectra-baby.com ""review"" (""problem"" OR ""disappointed"" OR ""returned"")",https://www.google.com/search?q=site%3Aspectra-baby.com+%22review%22+%28%22problem%22+OR+%22disappointed%22+OR+%22returned%22%29,BATCH-P1C-US-Spectra
P1-C,美国,US,吸奶器,竞品独立站,Medela DTC (medela.com),"Medela Pump in Style, Medela Swing Maxi, Medela Freestyle Flex",https://www.medela.com/breastfeeding/products/breast-pumps,"site:medela.com ""review"" (""disappointed"" OR ""problem"" OR ""issue"")",https://www.google.com/search?q=site%3Amedela.com+%22review%22+%28%22disappointed%22+OR+%22problem%22+OR+%22issue%22%29,BATCH-P1C-US-Medela
P1-C,美国,US,吸奶器,竞品Amazon评论,Amazon (amazon.com),Medela Pump in Style,https://www.amazon.com/s?k=Medela+Pump+in+Style&rh=p_72%3A1-2,"site:amazon.com ""Medela Pump in Style"" (""1 star"" OR ""terrible"" OR ""not worth"")",https://www.google.com/search?q=site%3Aamazon.com+%22Medela+Pump+in+Style%22+review+problem,BATCH-P1C-US-Medela
P1-C,美国,US,吸奶器,竞品Amazon评论,Amazon (amazon.com),Medela Swing Maxi,https://www.amazon.com/s?k=Medela+Swing+Maxi&rh=p_72%3A1-2,"site:amazon.com ""Medela Swing Maxi"" (""1 star"" OR ""terrible"" OR ""not worth"")",https://www.google.com/search?q=site%3Aamazon.com+%22Medela+Swing+Maxi%22+review+problem,BATCH-P1C-US-Medela
P1-C,美国,US,吸奶器,竞品独立站Google定向,Google → medela.com,Medela negative reviews,https://www.google.com/search?q=site%3Amedela.com+%22review%22+%28%22problem%22+OR+%22disappointed%22+OR+%22returned%22%29,"site:medela.com ""review"" (""problem"" OR ""disappointed"" OR ""returned"")",https://www.google.com/search?q=site%3Amedela.com+%22review%22+%28%22problem%22+OR+%22disappointed%22+OR+%22returned%22%29,BATCH-P1C-US-Medela
P1-C,美国,US,吸奶器,竞品独立站,Elvie DTC (elvie.com),"Elvie Pump, Elvie Stride",https://www.elvie.com/shop/elvie-pump,"site:elvie.com ""review"" (""battery"" OR ""suction"" OR ""disappointed"")",https://www.google.com/search?q=site%3Aelvie.com+%22review%22+%28%22battery%22+OR+%22suction%22+OR+%22disappointed%22%29,BATCH-P1C-US-Elvie
P1-C,美国,US,吸奶器,竞品Amazon评论,Amazon (amazon.com),Elvie Pump,https://www.amazon.com/s?k=Elvie+Pump&rh=p_72%3A1-2,"site:amazon.com ""Elvie Pump"" (""1 star"" OR ""terrible"" OR ""not worth"")",https://www.google.com/search?q=site%3Aamazon.com+%22Elvie+Pump%22+review+problem,BATCH-P1C-US-Elvie
